model,fold,roc
DummyClassifier,fold 1,0.5020032051282051
DummyClassifier,fold 2,0.5236842105263158
DummyClassifier,fold 3,0.4576480263157895
DummyClassifier,fold 4,0.5625
DummyClassifier,fold 5,0.4157072368421053
DummyClassifier,SE,0.02556792047096957
LogisticRegression,fold 1,0.9927884615384616
LogisticRegression,fold 2,0.997165991902834
LogisticRegression,fold 3,0.9691611842105263
LogisticRegression,fold 4,0.9930098684210527
LogisticRegression,fold 5,0.9835526315789473
LogisticRegression,SE,0.005014917349545168
KNeighborsClassifier,fold 1,0.9681490384615385
KNeighborsClassifier,fold 2,0.9941295546558705
KNeighborsClassifier,fold 3,0.9913651315789473
KNeighborsClassifier,fold 4,0.9928042763157895
KNeighborsClassifier,fold 5,0.9607319078947368
KNeighborsClassifier,SE,0.0070503704403806905
SVC,fold 1,0.9919871794871795
SVC,fold 2,0.9955465587044534
SVC,fold 3,0.9942434210526316
SVC,fold 4,0.9913651315789473
SVC,fold 5,0.983141447368421
SVC,SE,0.0021647872101191994
DecisionTreeClassifier,fold 1,0.8834134615384616
DecisionTreeClassifier,fold 2,0.872672064777328
DecisionTreeClassifier,fold 3,0.8819901315789473
DecisionTreeClassifier,fold 4,0.9239309210526316
DecisionTreeClassifier,fold 5,0.8976151315789473
DecisionTreeClassifier,SE,0.008940301979975784
RandomForestClassifier,fold 1,0.9877804487179487
RandomForestClassifier,fold 2,0.9910931174089068
RandomForestClassifier,fold 3,0.9860197368421053
RandomForestClassifier,fold 4,0.977796052631579
RandomForestClassifier,fold 5,0.986842105263158
RandomForestClassifier,SE,0.0022031820173864687
